ICB_NAME,Antidepressant,Anxiolytic
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,2124481,232828
NHS BLACK COUNTRY INTEGRATED CARE BOARD,2232915,263028
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",2892360,226355
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,6106721,692826
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2504409,310576
NHS DEVON INTEGRATED CARE BOARD,2367635,327868
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,5578567,497525
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,3822774,329048
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,2206926,211402
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,3359076,271889
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,3136784,264762
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,3479655,298126
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,2204891,298914
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,7706969,508716
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2232091,243446
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,2259375,183000
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,3250739,302389
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,2246183,239614
NHS SUSSEX INTEGRATED CARE BOARD,3078117,447451
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,4840126,368955
