Statistic Label,Year,Sex,UNIT,VALUE
Deaths,2000,Both sexes,Number,486
Deaths,2001,Both sexes,Number,519
Deaths,2002,Both sexes,Number,478
Deaths,2003,Both sexes,Number,497
Deaths,2004,Both sexes,Number,493
Deaths,2005,Both sexes,Number,481
Deaths,2006,Both sexes,Number,460
Deaths,2007,Both sexes,Number,458
Deaths,2008,Both sexes,Number,506
Deaths,2009,Both sexes,Number,552
Deaths,2010,Both sexes,Number,495
Deaths,2011,Both sexes,Number,554
Deaths,2012,Both sexes,Number,541
Deaths,2013,Both sexes,Number,487
Deaths,2014,Both sexes,Number,486
Deaths,2015,Both sexes,Number,425
Deaths,2016,Both sexes,Number,437
Deaths,2017,Both sexes,Number,383
Deaths,2018,Both sexes,Number,437
Deaths,2019,Both sexes,Number,390
Deaths,2020,Both sexes,Number,465
Deaths,2021,Both sexes,Number,449
Deaths,2022,Both sexes,Number,436
Deaths,2023,Both sexes,Number,453
Deaths,2024,Both sexes,Number,351
